model,seed,N,gamma,condition,temperature,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,marker_hit_rate,match_target
Qwen3-8B,0,500,2.0,proj,0.6,0.698,0.2659684652251299,0.8145844375789165,0.0,0.0,entropy
Qwen3-8B,0,500,2.0,tempmatch,0.8,0.694,0.2661732458517722,0.8144322946965694,0.0,0.0,entropy
Qwen3-8B,0,500,5.0,base,0.6,0.7,0.2661688856577093,0.8144226512312889,0.0,0.0,entropy
Qwen3-8B,0,500,5.0,proj,0.6,0.685,0.2660255160409547,0.814654712677002,0.0,0.0,entropy
Qwen3-8B,0,500,5.0,tempmatch,0.8,0.694,0.2661732458517722,0.8144322946965694,0.0,0.0,entropy
Qwen3-8B,0,500,10.0,base,0.6,0.7,0.2661688856577093,0.8144226512312889,0.0,0.0,entropy
Qwen3-8B,0,500,10.0,proj,0.6,0.698,0.2663961594972888,0.814295077636838,0.0,0.0,entropy
Qwen3-8B,0,500,10.0,tempmatch,1.0,0.679,0.2666124534553629,0.8149018161468677,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,0.2,0.7,0.2666253243687952,0.8132891478836537,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,0.4,0.708,0.2656901163870256,0.8151377634108067,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,0.6,0.685,0.2656595704973406,0.8154073677361011,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,0.8,0.694,0.2661732458517722,0.8144322946965694,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,1.0,0.679,0.2666124534553629,0.8149018161468677,0.0,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,1.2,0.681,0.2643647377173373,0.8167399010342921,0.002,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,1.5,0.675,0.2655212058611281,0.8151707488664568,0.004,0.0,entropy
Qwen3-8B,0,500,0.0,base_tempgrid,2.0,0.679,0.2602486620656211,0.8178944646318753,0.041,0.0,entropy
